HomeTeam,AwayTeam,FTHG,FTAG,FTR,B365H,B365D,B365A,BWH,BWD,BWA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA,B365>2.5,B365<2.5,Max<2.5,Max>2.5,Avg<2.5,Avg>2.5,Dia_da_Semana,Day,Month,Day_of_week,Date
9.0,99.0,0,3,0,6.0,4.0,1.57,5.5,4.1,1.6,6.2,4.33,1.63,5.74,4.17,1.59,1.85,2.08,2.09,1.87,2.02,1.81,6,12,3,6,
99.0,7.0,4,1,0,1.25,5.5,15.0,1.26,5.75,12.0,1.29,6.42,15.5,1.26,5.93,12.83,1.73,2.1,2.25,1.79,2.14,1.73,6,19,3,6,
99.0,0.0,4,1,0,1.29,6.0,9.0,1.29,5.75,10.0,1.31,6.25,12.0,1.29,5.84,10.48,1.53,2.5,2.58,1.57,2.51,1.53,5,1,4,5,
12.0,99.0,2,2,0,2.88,3.6,2.38,2.7,3.7,2.4,2.95,3.88,2.5,2.79,3.69,2.41,1.62,2.3,2.39,1.71,2.28,1.64,6,9,4,6,
19.0,99.0,2,2,0,6.0,4.2,1.55,5.75,4.1,1.57,6.2,4.4,1.61,5.92,4.22,1.57,1.8,2.0,2.11,1.86,2.04,1.8,6,16,4,6,
99.0,17.0,3,3,0,1.2,7.0,13.0,1.2,7.0,14.0,1.23,7.9,17.0,1.2,7.18,14.72,1.5,2.63,2.7,1.55,2.58,1.51,4,21,4,4,
13.0,99.0,4,1,0,1.55,4.5,5.25,1.55,4.4,5.5,1.61,4.8,6.4,1.56,4.49,5.7,1.62,2.3,2.49,1.67,2.35,1.6,2,26,4,2,
99.0,6.0,3,1,0,1.6,4.0,5.5,1.6,4.1,5.5,1.64,4.4,6.1,1.59,4.22,5.75,1.73,2.1,2.17,1.82,2.1,1.75,1,2,5,1,
15.0,99.0,0,2,0,2.45,3.75,2.63,2.5,3.6,2.6,2.6,3.94,2.85,2.49,3.73,2.71,1.62,2.3,2.41,1.7,2.29,1.64,6,7,5,6,
99.0,5.0,0,3,0,1.73,4.2,4.2,1.77,4.0,4.1,1.81,4.5,4.35,1.77,4.19,4.21,1.53,2.5,2.63,1.56,2.51,1.53,6,14,5,6,
16.0,99.0,1,0,0,5.25,4.33,1.57,5.25,4.4,1.57,5.6,4.6,1.7,5.37,4.45,1.59,1.57,2.38,2.51,1.64,2.41,1.57,5,20,5,5,
99.0,20.0,5,0,0,1.36,5.25,8.0,1.37,5.25,7.75,1.43,5.7,8.5,1.37,5.33,7.87,1.44,2.75,2.8,1.5,2.71,1.46,6,28,5,6,
